2014-10-30 04:32:08,785 INFO  com-0 : The Grinder version 3.11
2014-10-30 04:32:08,788 INFO  com-0 : Java(TM) SE Runtime Environment 1.7.0_67-b01: Java HotSpot(TM) 64-Bit Server VM (24.65-b04, mixed mode) on Linux amd64 2.6.32-279.19.1.el6.x86_64
2014-10-30 04:32:08,792 INFO  com-0 : time zone is PDT (-0700)
2014-10-30 04:32:08,857 INFO  com-0 : worker process 0
2014-10-30 04:32:08,915 INFO  com-0 : instrumentation agents: byte code transforming instrumenter for Jython 2.5; byte code transforming instrumenter for Java
2014-10-30 04:32:11,276 INFO  com-0 : registered plug-in net.grinder.plugin.http.HTTPPlugin
2014-10-30 04:32:11,520 INFO  com-0 : running "grinder.py" using Jython 2.5.3 (2.5:c56500f08d34+, Aug 13 2012, 14:54:35) 
[Java HotSpot(TM) 64-Bit Server VM (Oracle Corporation)]
2014-10-30 04:32:11,576 INFO  com-0 thread-5: starting, will do 250 runs
2014-10-30 04:32:11,576 INFO  com-0 thread-3: starting, will do 250 runs
2014-10-30 04:32:11,576 INFO  com-0 thread-4: starting, will do 250 runs
2014-10-30 04:32:11,577 INFO  com-0 thread-2: starting, will do 250 runs
2014-10-30 04:32:11,577 INFO  com-0 thread-6: starting, will do 250 runs
2014-10-30 04:32:11,577 INFO  com-0 thread-1: starting, will do 250 runs
2014-10-30 04:32:11,577 INFO  com-0 thread-0: starting, will do 250 runs
2014-10-30 04:32:11,578 INFO  com-0 thread-7: starting, will do 250 runs
2014-10-30 04:32:11,579 INFO  com-0 thread-8: starting, will do 250 runs
2014-10-30 04:32:11,580 INFO  com-0 thread-9: starting, will do 250 runs
2014-10-30 04:32:11,581 INFO  com-0 thread-10: starting, will do 250 runs
2014-10-30 04:32:11,581 INFO  com-0 thread-11: starting, will do 250 runs
2014-10-30 04:32:11,582 INFO  com-0 thread-12: starting, will do 250 runs
2014-10-30 04:32:11,583 INFO  com-0 thread-13: starting, will do 250 runs
2014-10-30 04:32:11,585 INFO  com-0 thread-14: starting, will do 250 runs
2014-10-30 04:32:11,585 INFO  com-0 thread-15: starting, will do 250 runs
2014-10-30 04:32:11,586 INFO  com-0 thread-16: starting, will do 250 runs
2014-10-30 04:32:11,586 INFO  com-0 thread-17: starting, will do 250 runs
2014-10-30 04:32:11,588 INFO  com-0 thread-18: starting, will do 250 runs
2014-10-30 04:32:11,588 INFO  com-0 thread-19: starting, will do 250 runs
2014-10-30 04:32:11,588 INFO  com-0 : start time is 1414668731588 ms since Epoch
2014-10-30 04:32:11,591 INFO  com-0 thread-3: sleeping for 1483 ms
2014-10-30 04:32:11,591 INFO  com-0 thread-4: sleeping for 861 ms
2014-10-30 04:32:11,591 INFO  com-0 thread-2: sleeping for 2499 ms
